     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS9 for process 1 7         -8.3235 150          


   Energia critica   =  66.47kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      451  cm-1
       frec    2      587  cm-1
       frec    3      906  cm-1
       frec    4      998  cm-1
       frec    5     1346  cm-1
       frec    6     1947  cm-1
       frec    7     2103  cm-1
       frec    8     2635  cm-1


   Energia del punto cero en el TS=    15.69kcal/mol




     Energia      k(E,J)/s-1
        31620              3911032474.
        31630              3927180616.
        31640              3950495435.
        31650              3956782807.
        31660              3976607330.
        31670              4003451903.
        31680              4008723271.
        31690              4023866306.
        31700              4043859586.
        31710              4048420893.
        31720              4061687750.
        31730              4072203147.
        31740              4087507309.
        31750              4108901574.
        31760              4136618887.
        31770              4147095479.
        31780              4156620273.
        31790              4183520739.
        31800              4191460183.
        31810              4221260070.
        31820              4238475652.
        31830              4257032708.
        31840              4275744702.
        31850              4277535794.
        31860              4300671443.
        31870              4306826962.
        31880              4331354326.
        31890              4341921427.
        31900              4374018655.
        31910              4385867310.
        31920              4398293120.
        31930              4421033528.
        31940              4442434661.
        31950              4459625652.
        31960              4493874438.
        31970              4495519416.
        31980              4511586046.
        31990              4531809577.
        32000              4539299843.
        32010              4550904240.
        32020              4565762437.
        32030              4595280872.
        32040              4609549740.
        32050              4629246788.
        32060              4646606243.
        32070              4659505816.
        32080              4690855756.
        32090              4694556369.
        32100              4726657990.
        32110              4742187028.
        32120              4763273891.
        32130              4782217337.
        32140              4792692898.
        32150              4809193424.
        32160              4832402578.
        32170              4852565621.
        32180              4854977883.
        32190              4875011309.
        32200              4897368217.
        32210              4914057410.
        32220              4933783481.
        32230              4964829641.
        32240              4972669405.
        32250              5003905700.
        32260              5015289729.
        32270              5038670324.
        32280              5055656241.
        32290              5074106581.
        32300              5090896166.
        32310              5102508265.
        32320              5123215319.
        32330              5133914500.
        32340              5161968875.
        32350              5188890614.
        32360              5202578661.
        32370              5235599244.
        32380              5231584082.
        32390              5269004419.
        32400              5290888960.
        32410              5318755289.
        32420              5329351731.
        32430              5356895365.
        32440              5365815044.
        32450              5386431448.
        32460              5397600882.
        32470              5416296873.
        32480              5430973262.
        32490              5468759764.
        32500              5475528478.
        32510              5498560706.
        32520              5525072159.
        32530              5541780512.
        32540              5570804832.
        32550              5585511690.
        32560              5607301112.
        32570              5630066025.
        32580              5647015267.
        32590              5665502937.
        32600              5680095592.
        32610              5713042860.
