     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS8 for process 3 1          5.2856 150         


   Energia critica   =  47.88kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
        22760              3400672068.
        22770              3431298802.
        22780              3533666261.
        22790              3512241759.
        22800              3507630448.
        22810              3548545243.
        22820              3504060402.
        22830              3512494243.
        22840              3583573525.
        22850              3605347237.
        22860              3639961945.
        22870              3672414596.
        22880              3621996891.
        22890              3636818273.
        22900              3657407046.
        22910              3667758099.
        22920              3756325797.
        22930              3783986280.
        22940              3743804976.
        22950              3780295989.
        22960              3778710077.
        22970              3741477474.
        22980              3841259574.
        22990              3875545805.
        23000              3862560905.
        23010              3922403477.
        23020              3908415936.
        23030              3857666089.
        23040              3924610787.
        23050              3945224707.
        23060              3973641484.
        23070              4059407642.
        23080              4027362402.
        23090              4012321010.
        23100              4064660694.
        23110              4020939228.
        23120              4053341530.
        23130              4157535366.
        23140              4139673174.
        23150              4146133975.
        23160              4219552405.
        23170              4143964510.
        23180              4148128316.
        23190              4245561257.
        23200              4235759078.
        23210              4272921271.
        23220              4356447540.
        23230              4287443197.
        23240              4283977491.
        23250              4336110271.
        23260              4319533255.
        23270              4389230527.
        23280              4460481719.
        23290              4432071272.
        23300              4456080143.
        23310              4460546300.
        23320              4408997949.
        23330              4490757639.
        23340              4551295621.
        23350              4542859157.
        23360              4618016814.
        23370              4619735844.
        23380              4545145754.
        23390              4604000659.
        23400              4653074032.
        23410              4644876379.
        23420              4745498240.
        23430              4770086138.
        23440              4719067920.
        23450              4753360953.
        23460              4750113057.
        23470              4750727063.
        23480              4838570554.
        23490              4877028163.
        23500              4883427424.
        23510              4910325566.
        23520              4875932095.
        23530              4885654924.
        23540              4938865426.
        23550              4954104451.
        23560              5013127399.
        23570              5068774300.
        23580              5036039335.
        23590              5042025917.
        23600              5061137075.
        23610              5057053310.
        23620              5118010791.
        23630              5182260613.
        23640              5201613921.
        23650              5227100479.
        23660              5206742121.
        23670              5186334902.
        23680              5247043924.
        23690              5263111057.
        23700              5309756171.
        23710              5395605256.
        23720              5372163110.
        23730              5351755095.
        23740              5394451015.
        23750              5366902156.
        23760              5408723073.
        23770              5535168147.
        23780              5527970295.
        23790              5528573789.
        23800              5554940833.
        23810              5517437115.
        23820              5542084416.
        23830              5626540937.
        23840              5639115319.
        23850              5708428322.
        23860              5725203816.
        23870              5668078759.
        23880              5713734049.
        23890              5741633348.
        23900              5719806377.
        23910              5850041254.
        23920              5898782451.
        23930              5828279989.
        23940              5887569710.
        23950              5900819900.
        23960              5837406272.
        23970              5953285684.
        23980              6011860017.
        23990              6004184184.
        24000              6064405351.
        24010              6064473694.
        24020              6017232875.
        24030              6085918139.
        24040              6101585295.
        24050              6136447038.
        24060              6242100936.
        24070              6224611361.
        24080              6210648954.
        24090              6263623366.
        24100              6223933233.
        24110              6250384066.
        24120              6402579756.
        24130              6378575254.
        24140              6394878362.
        24150              6467391592.
        24160              6394197817.
        24170              6392503123.
        24180              6494860917.
        24190              6499308914.
        24200              6572615604.
        24210              6640777348.
        24220              6577819010.
        24230              6595658833.
        24240              6622515407.
        24250              6605791843.
        24260              6719901970.
        24270              6788479405.
        24280              6750166872.
        24290              6806380408.
        24300              6812291443.
        24310              6743061817.
        24320              6859242539.
        24330              6913386159.
        24340              6910890777.
        24350              7012169734.
        24360              6999741965.
        24370              6930225141.
        24380              7013409345.
        24390              7032181542.
        24400              7050463245.
        24410              7177357049.
        24420              7160838397.
        24430              7153378991.
        24440              7219528398.
        24450              7160424108.
        24460              7180195625.
        24470              7328528199.
        24480              7317627465.
        24490              7353218421.
        24500              7447334961.
        24510              7357392406.
        24520              7355700940.
        24530              7468036933.
        24540              7449170762.
        24550              7511069834.
        24560              7634165590.
        24570              7566947647.
        24580              7571806826.
        24590              7623063607.
        24600              7584667537.
        24610              7667067866.
        24620              7767036219.
        24630              7765660963.
        24640              7814296771.
        24650              7806996201.
        24660              7751918210.
        24670              7838084346.
        24680              7895108292.
        24690              7912306153.
        24700              8027541505.
        24710              8026957924.
        24720              7959718809.
        24730              8018532515.
        24740              8055069395.
        24750              8048939388.
        24760              8178359600.
        24770              8220213466.
        24780              8207902962.
        24790              8233712150.
        24800              8223268683.
        24810              8230639450.
        24820              8326075696.
        24830              8369284159.
        24840              8428599844.
        24850              8462309727.
        24860              8424290799.
        24870              8454647608.
        24880              8482007429.
        24890              8495992120.
        24900              8595734454.
        24910              8666223335.
        24920              8641272799.
        24930              8684605385.
        24940              8677669154.
        24950              8660244925.
        24960              8747086141.
        24970              8811327248.
        24980              8852973795.
        24990              8929752930.
        25000              8887230780.
        25010              8875576743.
        25020              8949131924.
        25030              8937738783.
        25040              9003614473.
        25050              9155289635.
        25060              9112700580.
        25070              9108837549.
        25080              9171865001.
        25090              9114018508.
        25100              9159600437.
        25110              9320446991.
        25120              9299926807.
        25130              9342543313.
        25140              9401223509.
        25150              9330437031.
        25160              9366446717.
        25170              9463475344.
        25180              9461395931.
        25190              9574119087.
        25200              9642953906.
        25210              9551551588.
        25220              9627188553.
        25230              9652102155.
        25240              9602169957.
        25250              9766441012.
        25260              9851943428.
        25270              9767594653.
        25280              9876550996.
        25290              9892519016.
        25300              9791662051.
        25310              9924820787.
        25320              9998685230.
        25330              9986786749.
        25340             10113292269.
        25350             10123622483.
        25360             10049340086.
        25370             10134866051.
        25380             10150210144.
        25390             10174192780.
        25400             10332661676.
        25410             10326422204.
        25420             10319385023.
        25430             10399729136.
        25440             10335757934.
        25450             10353538082.
        25460             10528714493.
        25470             10514840581.
        25480             10559496372.
        25490             10677120349.
        25500             10575881364.
        25510             10580173453.
        25520             10690425114.
        25530             10698621000.
        25540             10792764756.
        25550             10905901626.
        25560             10838315639.
        25570             10868294379.
        25580             10890616131.
        25590             10867681252.
        25600             10992784783.
        25610             11085563111.
        25620             11070228033.
        25630             11154318597.
        25640             11157621312.
        25650             11084477011.
        25660             11194506272.
        25670             11251909944.
        25680             11266925296.
        25690             11409145387.
        25700             11408303236.
        25710             11352436132.
        25720             11441039579.
        25730             11444170438.
        25740             11472275904.
        25750             11610932011.
        25760             11628398693.
        25770             11651544499.
        25780             11724115214.
        25790             11647421845.
        25800             11682326511.
        25810             11813006974.
        25820             11815429578.
        25830             11889908786.
        25840             12016351033.
        25850             11917899341.
        25860             11936101555.
        25870             12026512640.
        25880             12009173676.
        25890             12100109883.
        25900             12249082404.
        25910             12210935182.
        25920             12239561257.
        25930             12266501507.
        25940             12224946917.
        25950             12323651185.
        25960             12426083320.
        25970             12456944750.
        25980             12538756319.
        25990             12525354182.
        26000             12482077554.
        26010             12577043196.
        26020             12602829860.
        26030             12646245006.
        26040             12799136804.
        26050             12809195519.
        26060             12761099090.
        26070             12838382032.
        26080             12838198536.
        26090             12861009606.
        26100             13000906670.
        26110             13055804216.
        26120             13076227304.
        26130             13126327511.
        26140             13088098122.
        26150             13128894459.
        26160             13204929180.
        26170             13232387492.
        26180             13348859800.
        26190             13410474675.
        26200             13363617723.
        26210             13440177439.
        26220             13448296676.
        26230             13432494707.
        26240             13580035089.
        26250             13657879620.
        26260             13650650492.
        26270             13750321914.
        26280             13723760594.
        26290             13682586353.
        26300             13808361106.
        26310             13849661119.
        26320             13902356835.
        26330             14053057663.
        26340             14008958563.
        26350             13980319192.
        26360             14100369169.
        26370             14035074684.
        26380             14115837479.
        26390             14328393325.
        26400             14283406826.
        26410             14290144398.
        26420             14405058093.
        26430             14294837653.
        26440             14356732210.
        26450             14547924890.
        26460             14518207172.
        26470             14605104281.
        26480             14708230722.
        26490             14596544347.
        26500             14648846637.
        26510             14758078292.
        26520             14725604198.
        26530             14879565137.
        26540             14986756778.
        26550             14886939233.
        26560             14989522883.
        26570             15028411551.
        26580             14944264661.
        26590             15138546720.
        26600             15245229982.
        26610             15169211412.
        26620             15321059680.
        26630             15362282151.
        26640             15230933445.
        26650             15377177165.
        26660             15451264791.
        26670             15448139525.
        26680             15606145323.
        26690             15654216256.
        26700             15571913595.
        26710             15678018897.
        26720             15679575396.
        26730             15692143122.
        26740             15869430301.
        26750             15903603193.
        26760             15919479097.
        26770             16021646910.
        26780             15954587837.
        26790             15958866023.
        26800             16138373858.
        26810             16139990789.
        26820             16223254867.
        26830             16362661358.
        26840             16279932689.
        26850             16274872508.
        26860             16384871147.
        26870             16386770735.
        26880             16500988069.
        26890             16630123081.
        26900             16611689368.
        26910             16648741300.
        26920             16671478276.
        26930             16640750679.
        26940             16774956600.
        26950             16868638361.
        26960             16901695168.
        26970             17005606788.
        26980             17022831918.
        26990             16950711482.
        27000             17063277743.
        27010             17104538694.
        27020             17151625817.
        27030             17307103958.
        27040             17328011723.
        27050             17310757338.
        27060             17405216551.
        27070             17382290395.
        27080             17418701016.
        27090             17571168901.
        27100             17590275296.
        27110             17673607105.
        27120             17755215350.
        27130             17677087829.
        27140             17731253099.
        27150             17852022894.
        27160             17835585131.
        27170             17976277432.
        27180             18111209674.
        27190             18025323799.
        27200             18074207984.
        27210             18152982976.
        27220             18103490354.
        27230             18238761775.
        27240             18382241908.
        27250             18376337329.
        27260             18459325189.
        27270             18467739873.
        27280             18412399360.
        27290             18546999650.
        27300             18619835120.
        27310             18680501808.
        27320             18827414546.
        27330             18808627421.
        27340             18779516839.
        27350             18897391202.
        27360             18877193910.
        27370             18937590348.
        27380             19144481912.
        27390             19138465130.
        27400             19135907756.
        27410             19235292622.
        27420             19203958814.
        27430             19239590918.
        27440             19401436722.
        27450             19429132868.
        27460             19515499993.
        27470             19589598278.
        27480             19544125406.
        27490             19606631720.
        27500             19679681127.
        27510             19680677362.
        27520             19855004159.
        27530             19932749789.
        27540             19892677957.
        27550             20009702142.
        27560             20008910093.
        27570             19965083026.
        27580             20152295942.
        27590             20222566270.
        27600             20228481915.
        27610             20394139637.
        27620             20369794969.
        27630             20316482271.
        27640             20463743674.
        27650             20491983867.
        27660             20546565133.
        27670             20760385422.
        27680             20724393102.
        27690             20709011722.
        27700             20843544400.
        27710             20766192690.
        27720             20830824172.
        27730             21097742698.
        27740             21047193396.
        27750             21093114524.
        27760             21236651129.
        27770             21123146884.
        27780             21162255448.
        27790             21377274160.
        27800             21338036576.
        27810             21462237064.
        27820             21607928228.
        27830             21504944815.
        27840             21555261551.
        27850             21676344802.
        27860             21626813163.
        27870             21796076103.
        27880             21947062846.
        27890             21864132934.
        27900             21990096203.
        27910             22039547465.
        27920             21940420142.
        27930             22129025798.
        27940             22251174912.
        27950             22188341687.
        27960             22387898070.
        27970             22449431000.
        27980             22317991141.
        27990             22456423955.
        28000             22550370590.
        28010             22542709940.
        28020             22731863347.
        28030             22809678752.
        28040             22763048876.
        28050             22861055563.
        28060             22868631065.
        28070             22870193450.
        28080             23060828696.
        28090             23112536917.
        28100             23171787371.
        28110             23286846795.
        28120             23227800187.
        28130             23238443384.
        28140             23395016911.
        28150             23407533552.
        28160             23528175200.
        28170             23684400872.
        28180             23626077878.
        28190             23661763255.
        28200             23739271361.
        28210             23745075339.
        28220             23878447792.
        28230             24006415346.
        28240             24028948376.
        28250             24116375953.
        28260             24109954934.
        28270             24102268320.
        28280             24242247966.
        28290             24308208821.
        28300             24369758901.
        28310             24528310172.
        28320             24526391489.
        28330             24509627412.
        28340             24625676506.
        28350             24633065960.
        28360             24704995237.
        28370             24888780947.
        28380             24899548425.
        28390             24957559252.
        28400             25054608071.
        28410             24994893857.
        28420             25073679267.
        28430             25216404871.
        28440             25223116600.
        28450             25375823175.
        28460             25480156921.
        28470             25387296762.
        28480             25494063861.
        28490             25578433515.
        28500             25546481257.
        28510             25736698463.
        28520             25885929003.
        28530             25809223289.
        28540             25923991014.
        28550             25968190007.
        28560             25907101445.
        28570             26079339332.
        28580             26223159487.
        28590             26228672207.
        28600             26385262216.
        28610             26371097139.
        28620             26320207602.
        28630             26481241334.
        28640             26525660353.
        28650             26584999904.
        28660             26800312579.
        28670             26779508529.
        28680             26775764940.
